sentence,annotation
Photographers travel to Croagh Patrick to capture its breathtaking views .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Legends say that Guadalupe Peak is protected by ancient spirits .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The slopes of Mount Apo are covered with diverse vegetation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Qurnat al Sawdāʾ has been a source of inspiration for poets and writers .,O O O O O O O O O O O O O O
Hekla has been the site of many scientific studies due to its unique environment .,B-MOUNTAIN O O O O O O O O O O O O O O
The legends of Bucegi Massif add to its mystique and allure .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The altitude of Mount Bamba challenges even the fittest athletes .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The rivers near Katla provide fresh water to local communities .,O O O B-MOUNTAIN O O O O O O O
During the winter months Lassen Peak becomes almost inaccessible .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
Ancient civilizations left their mark on the slopes of Humphreys Peak .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The landscape around Ben Nevis changes dramatically with the seasons .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The journey to Mount Logan requires careful planning and preparation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The peak of Dom is one of the most beautiful places on Earth .,O O O B-MOUNTAIN O O O O O O O O O O
The ecosystem around Bolívar Peak is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Kamet is famous for its challenging climbing routes .,B-MOUNTAIN O O O O O O O O
The rivers near Mount Rainier provide fresh water to local communities .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rugged terrain of Krakatoa demands skill and endurance from climbers .,O O O O B-MOUNTAIN O O O O O O O
Gran Paradiso has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Legends say that Mount Parnassus is protected by ancient spirits .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The slopes of Ben Nevis are covered with diverse vegetation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Corcovado is home to ancient rock formations that date back millennia .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The journey to Mount Toba requires careful planning and preparation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Those who climb Mount Fairweather often speak of its spiritual energy .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The scenic views around Margherita Peak attract travelers from far and wide .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Reaching the top of Mount Aso is an achievement many aspire to .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rivers near Mauna Loa provide fresh water to local communities .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Many expeditions have been launched to explore the depths of Mount Helicon .,O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Rushmore is known for its sharp jagged peaks .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The history of Chimborazo is filled with stories of exploration and adventure .,O O O B-MOUNTAIN O O O O O O O O O
The forests surrounding Carrantuohill are filled with diverse wildlife .,O O O B-MOUNTAIN O O O O O O
The dense forests near San Francisco Peaks add to its allure .,O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O
Climbing Triglav is considered a rite of passage for experienced climbers .,O B-MOUNTAIN O O O O O O O O O O
The rugged trails on Mount Nebo attract experienced hikers from around the world .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The beauty of Mount Shasta is matched by the challenges it presents .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Merapi has been a source of inspiration for poets and writers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Ancient civilizations left their mark on the slopes of Irazú Volcano .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
